State,nst,acled,ratio_nst_acled,pearson,spearman,weeks_acled_only,weeks_nst_only,weeks_both
Kaduna,309.0,169,1.83,0.24,0.28,30,92,84
Zamfara,118.0,147,0.8,0.25,0.24,50,47,40
Katsina,192.0,142,1.35,0.19,0.18,42,67,49
Niger,128.0,115,1.11,0.25,0.3,35,44,37
Borno,68.0,96,0.71,0.05,0.07,51,41,17
Federal Capital Territory,107.0,91,1.18,0.16,0.1,46,57,24
Rivers,105.0,77,1.36,0.21,0.22,31,57,29
Delta,110.0,66,1.67,0.16,0.1,32,71,21
Imo,74.0,63,1.17,0.25,0.23,31,37,18
Kogi,95.0,62,1.53,0.09,0.17,30,49,21
Edo,98.0,55,1.78,0.07,0.07,29,62,15
Ondo,86.0,55,1.56,0.09,0.08,32,60,16
Sokoto,40.0,54,0.74,0.05,0.09,29,27,7
Plateau,74.0,50,1.48,0.19,0.08,27,52,11
Anambra,49.0,43,1.14,-0.05,-0.05,31,34,3
Nasarawa,58.0,43,1.35,0.21,0.26,23,33,17
Benue,47.0,43,1.09,0.16,0.11,28,34,9
Taraba,80.0,41,1.95,-0.01,-0.0,26,58,8
Enugu,37.0,37,1.0,0.22,0.13,26,25,7
Ogun,52.0,36,1.44,0.3,0.21,21,32,11
Oyo,45.0,35,1.29,0.34,0.23,18,28,10
Cross River,44.0,35,1.26,-0.03,-0.06,27,35,2
Ekiti,51.0,32,1.59,0.18,0.16,21,36,10
Abia,34.0,32,1.06,0.1,0.1,25,25,6
Adamawa,48.0,31,1.55,0.23,0.21,19,32,11
Kwara,48.0,29,1.66,0.17,0.25,14,28,10
Osun,35.0,24,1.46,0.18,0.16,15,25,6
Bayelsa,42.0,23,1.83,0.12,0.2,12,28,7
Akwa Ibom,33.0,22,1.5,0.11,0.1,15,26,4
Bauchi,26.0,17,1.53,0.16,0.15,12,20,4
Kano,24.0,16,1.5,0.03,0.05,14,19,2
Jigawa,18.0,12,1.5,0.2,0.18,8,14,3
Lagos,18.0,11,1.64,0.01,0.05,7,15,1
Yobe,10.0,11,0.91,0.05,0.07,9,8,1
Ebonyi,18.0,10,1.8,0.08,0.05,7,15,1
Kebbi,10.0,10,1.0,0.07,0.07,9,9,1
Gombe,4.0,3,1.33,0.28,0.28,2,3,1
