n,base_rate,pr_auc,roc_auc,brier,log_loss,ece,p_at_20,p_at_50,outcome,h,model,variant
143052,0.012792550960489892,0.05462737562729572,0.7578664193639082,0.012368348547531398,0.08027156327516573,0.0022877923913753265,0.09368131868131871,0.06758241758241759,A,1,hist,full
143052,0.012792550960489892,0.06066316034593668,0.774937458466548,0.012390333682522072,0.06201115612859383,0.0027595562765991193,0.09203296703296704,0.06505494505494505,A,1,lgbm,full
143052,0.012792550960489892,0.07057401588337156,0.789311511472887,0.012354903232452679,0.060650399325327495,0.0016049507076180021,0.09835164835164835,0.06923076923076922,A,1,logit,full
132048,0.02431691506118987,0.09449256852978473,0.7537350076332814,0.022920405297775504,0.1418291998588828,0.0058302842229893985,0.16696428571428573,0.12178571428571429,A,2,hist,full
132048,0.02431691506118987,0.10175116134821452,0.7748379196591275,0.02293928025641133,0.10247305864578792,0.005284942550291801,0.1619047619047619,0.11523809523809525,A,2,lgbm,full
132048,0.02431691506118987,0.12005651581371544,0.7868156707305813,0.02268096771380048,0.10007594458692785,0.0030774083878493757,0.1744047619047619,0.12785714285714286,A,2,logit,full
110040,0.04452017448200654,0.15487006836563094,0.7459571203171236,0.04039355255345527,0.24572782318191247,0.014694542091228316,0.2796428571428571,0.20742857142857143,A,4,hist,full
110040,0.04452017448200654,0.16633975221391087,0.7651392318924508,0.04016356107236608,0.16246300771304162,0.009266784591127931,0.2725,0.20385714285714285,A,4,lgbm,full
110040,0.04452017448200654,0.1913625144422756,0.781018781767562,0.03943684737291316,0.15763710263294406,0.004525414309116151,0.29178571428571426,0.21957142857142858,A,4,logit,full
110040,0.04452017448200654,0.16349888998729392,0.7663619108133797,0.040364616736522675,0.16289464843100493,0.010382276588867896,0.2725,0.19899999999999998,A,4,lgbm,no_neighbours
110040,0.04452017448200654,0.16550783544883202,0.7669968817755647,0.04022676925827863,0.16208266195967327,0.008855687548743088,0.2603571428571429,0.19957142857142857,A,4,lgbm,no_season
110040,0.04452017448200654,0.15962146617994993,0.7617914757763667,0.04048528564567387,0.16242838203139637,0.006649420637100978,0.25142857142857145,0.1937142857142857,A,4,lgbm,no_state
143052,0.01230321841008864,0.06361408134148422,0.7967128539253332,0.01182546095678745,0.0720587113228462,0.002131617964989704,0.10274725274725274,0.07351648351648352,B,1,hist,full
143052,0.01230321841008864,0.08783854210229852,0.8159404391904065,0.011738842395868355,0.057224738198967576,0.002083112401593013,0.10796703296703297,0.07274725274725274,B,1,lgbm,full
143052,0.01230321841008864,0.10405501735065496,0.8137420844131946,0.011608071779947656,0.05641952667369194,0.0011663503745818532,0.11703296703296703,0.07813186813186812,B,1,logit,full
132048,0.023014358415121772,0.10456117045520576,0.7861983457661382,0.021538254708474057,0.12709812743140825,0.005903123801493223,0.16904761904761903,0.1285714285714286,B,2,hist,full
132048,0.023014358415121772,0.13225989063529553,0.8037744335663953,0.02136014004725375,0.09462239908218202,0.003971566441805298,0.17738095238095242,0.12595238095238095,B,2,lgbm,full
132048,0.023014358415121772,0.14740946959104864,0.8012006240877139,0.021102325839054803,0.0935706934404014,0.003112624049061303,0.19047619047619047,0.12833333333333333,B,2,logit,full
110040,0.04283896764812795,0.16448563640150132,0.7774396674684577,0.03851473489411597,0.22312321905146998,0.013849205235727236,0.27107142857142846,0.21957142857142853,B,4,hist,full
110040,0.04283896764812795,0.18917851920169942,0.7957859895338707,0.038320402695428295,0.1532156519749624,0.01085458888844272,0.2671428571428571,0.20742857142857143,B,4,lgbm,full
110040,0.04283896764812795,0.2086166458652694,0.7923416557926288,0.037629156083445255,0.15117664048126225,0.006450445203943118,0.2939285714285715,0.21514285714285716,B,4,logit,full
110040,0.04283896764812795,0.1912706111772407,0.7937373074740226,0.0382345211559143,0.15375351095501855,0.011514354831170399,0.27535714285714286,0.21,B,4,lgbm,no_neighbours
110040,0.04283896764812795,0.194539289928313,0.7964475565533282,0.03806591861282517,0.1523429052852505,0.00936336438171187,0.27749999999999997,0.20885714285714288,B,4,lgbm,no_season
110040,0.04283896764812795,0.18889078221212405,0.7958032511315394,0.03831548377231454,0.15203022403456237,0.008373400360389098,0.26,0.20314285714285715,B,4,lgbm,no_state
