n,base_rate,pr_auc,roc_auc,brier,log_loss,ece,p_at_5,p_at_10,outcome,h,model,variant
10952,0.2426953981008035,0.5319738198723022,0.7544957345397136,0.1525517832246005,0.4763688176108625,0.034883856092318935,0.5871621621621622,0.4766891891891892,A,1,hist,full
10952,0.2426953981008035,0.5157206765508207,0.7341107363096933,0.1575622951485215,0.49448830479971745,0.041721863231286155,0.5513513513513513,0.4618243243243243,A,1,lgbm,full
10952,0.2426953981008035,0.5542272564092208,0.7657341750126057,0.1498748932682329,0.46853967485258863,0.028776480604910705,0.5858108108108109,0.48918918918918924,A,1,logit,full
10101,0.3758043758043758,0.6760202574865406,0.7575777624762993,0.18841091747668892,0.56225005668129,0.04315070949563258,0.7699633699633699,0.6655677655677656,A,2,hist,full
10101,0.3758043758043758,0.6680554472778222,0.7432378002973203,0.19403746049421938,0.5773000590787948,0.04924089393689508,0.7487179487179486,0.6487179487179487,A,2,lgbm,full
10101,0.3758043758043758,0.6977743446599989,0.7710993833819814,0.18357361251936946,0.5493012873112132,0.03552610759913859,0.7794871794871794,0.6831501831501832,A,2,logit,full
9250,0.46713513513513516,0.7489341162708466,0.7612235610984942,0.1987494993750337,0.5851479185132351,0.048002078677754675,0.8472000000000001,0.7644000000000001,A,3,hist,full
9250,0.46713513513513516,0.7439209606908255,0.7474251003922443,0.20554305357485866,0.6004621828282218,0.05974479221429721,0.8448000000000001,0.758,A,3,lgbm,full
9250,0.46713513513513516,0.7700120509769549,0.7769378636485349,0.1920028356956229,0.5683710318051898,0.03744087682601828,0.868,0.7864,A,3,logit,full
8399,0.5363733777830694,0.7933599526637152,0.7630799425622503,0.1997431084244554,0.5901991088261227,0.04801164471960946,0.892511013215859,0.8251101321585903,A,4,hist,full
8399,0.5363733777830694,0.7865977200539792,0.7464739001976346,0.20952522965904768,0.6121303599977297,0.07548852189924411,0.8881057268722466,0.8048458149779738,A,4,lgbm,full
8399,0.5363733777830694,0.8149740169717785,0.7807832648424082,0.19121588385117297,0.5675221724638507,0.037811124641756705,0.9189427312775331,0.8502202643171806,A,4,logit,full
8399,0.5363733777830694,0.7944146268718814,0.7537712762227896,0.20722729687681088,0.609048749645412,0.07623469136034522,0.9022026431718062,0.8220264317180618,A,4,lgbm,no_neighbours
8399,0.5363733777830694,0.7863446043824618,0.7462027867227362,0.20966371611914064,0.6123690657310328,0.07529547191847324,0.8951541850220264,0.811013215859031,A,4,lgbm,no_season
8399,0.5363733777830694,0.7902894683021362,0.7473793599190993,0.20724596487601704,0.6025911562052161,0.06913141906281386,0.8898678414096917,0.8140969162995595,A,4,lgbm,no_state
10952,0.5078524470416362,0.7832392426845518,0.7650801156002265,0.19654821597795222,0.5736626532791059,0.032039283306175205,0.914864864864865,0.8283783783783785,B,1,hist,full
10952,0.5078524470416362,0.7911072864665323,0.7653526880988739,0.19592044384271526,0.5709293787286283,0.028750431487353647,0.9148648648648647,0.8256756756756757,B,1,lgbm,full
10952,0.5078524470416362,0.8020630491597186,0.7811439138762302,0.19014180190265806,0.5585317184389783,0.020312328973432454,0.9182432432432431,0.8341216216216216,B,1,logit,full
10101,0.681021681021681,0.8824726335958102,0.7770130063258044,0.17465434258079773,0.5202317532541744,0.031448679094986776,0.9772893772893771,0.935897435897436,B,2,hist,full
10101,0.681021681021681,0.8889809980963428,0.7774764351313821,0.17529283647101834,0.5154410480566567,0.04058126694340845,0.9765567765567766,0.945787545787546,B,2,lgbm,full
10101,0.681021681021681,0.8972699450352051,0.7974715732233756,0.1671225103547318,0.4980505037903891,0.024856803060637943,0.9802197802197803,0.9487179487179487,B,2,logit,full
9250,0.774054054054054,0.9266308156601126,0.7911398051375264,0.14348746450290417,0.44385833405158565,0.03335540384199588,0.9856,0.974,B,3,hist,full
9250,0.774054054054054,0.9319813982982286,0.7938413835502928,0.14503976780419256,0.4424187917379996,0.048694155386953576,0.992,0.9763999999999999,B,3,lgbm,full
9250,0.774054054054054,0.9399051649835675,0.8179693806634413,0.1359781189012301,0.41602135871790735,0.028518945844286638,0.9936,0.9764,B,3,logit,full
8399,0.8302178830813192,0.950529427704042,0.8063057386847163,0.11739746841884792,0.3796997257126582,0.038625083764550726,0.9876651982378856,0.9916299559471367,B,4,hist,full
8399,0.8302178830813192,0.9570092510044692,0.8152275989797555,0.11976354955483562,0.3789841310292965,0.05417202218356834,0.998237885462555,0.9876651982378855,B,4,lgbm,full
8399,0.8302178830813192,0.9620287556941736,0.83627552396551,0.11150882220691863,0.34829109896834604,0.03288236847386284,0.998237885462555,0.9911894273127754,B,4,logit,full
8399,0.8302178830813192,0.9557682741529627,0.810842120147256,0.12005634233568424,0.3784520654383632,0.04429538298611034,0.9973568281938325,0.9911894273127754,B,4,lgbm,no_neighbours
8399,0.8302178830813192,0.9571036174042689,0.8151574526389003,0.12097270676945283,0.38105384742771964,0.05606446640657525,0.998237885462555,0.9876651982378856,B,4,lgbm,no_season
8399,0.8302178830813192,0.9565536429129954,0.8159323811399167,0.11900612466660554,0.3812360590621504,0.05473775626127081,0.998237885462555,0.9876651982378855,B,4,lgbm,no_state
