n,base_rate,pr_auc,roc_auc,brier,log_loss,ece,p_at_5,p_at_10,outcome,model,year
37,0.4594594594594595,0.6585892676759549,0.6691176470588235,0.2587283104110027,0.7628806899293683,0.19048856548856546,0.8,0.7,A,hist,2020
1480,0.4905405405405405,0.7241060679929496,0.7404713885905108,0.22747662236927357,0.6576147384671304,0.14375648607068608,0.775,0.7525000000000001,A,hist,2021
1517,0.5464733025708636,0.7584191039294582,0.7336320377591381,0.21262263625655203,0.6114853461000284,0.08590461548603012,0.8878048780487806,0.7804878048780488,A,hist,2022
1480,0.5236486486486487,0.7528220303455323,0.7409004804392586,0.2083111927194987,0.6384218778929137,0.056828218399168434,0.8600000000000001,0.805,A,hist,2023
1480,0.5135135135135135,0.8008315065071343,0.7932127192982455,0.18520428944106826,0.5484452849791956,0.04013123700623701,0.8850000000000001,0.825,A,hist,2024
1480,0.5702702702702702,0.8542944140849623,0.7931598184744701,0.18326684441472693,0.5364892860773453,0.06913335925155921,1.0,0.8975,A,hist,2025
925,0.5989189189189189,0.8741609048266825,0.8254498039253846,0.16780285030556147,0.5161028130734358,0.095135027027027,0.9840000000000001,0.9359999999999999,A,hist,2026
37,0.4594594594594595,0.5710411077462532,0.6470588235294118,0.2786873385824971,0.8259806973608906,0.2199741554464381,0.6,0.6,A,lgbm,2020
1480,0.4905405405405405,0.6725491272621975,0.6726658921016289,0.24641282738552622,0.7185788445238741,0.13620711129451457,0.775,0.7025,A,lgbm,2021
1517,0.5464733025708636,0.737123858971435,0.7039863102084327,0.22708656591608156,0.6557672895282672,0.09091207410751317,0.848780487804878,0.7560975609756097,A,lgbm,2022
1480,0.5236486486486487,0.7192184090327752,0.7131859986273164,0.22317995497824858,0.6513129013358384,0.07778539464599911,0.8100000000000002,0.7625,A,lgbm,2023
1480,0.5135135135135135,0.7996782771325814,0.7751260964912281,0.19372256306611818,0.5614837816170378,0.05098985719628253,0.95,0.8099999999999999,A,lgbm,2024
1480,0.5702702702702702,0.8560908800571676,0.7881270678708754,0.18788946030706388,0.5552287577886018,0.0706580431301292,1.0,0.9125,A,lgbm,2025
925,0.5989189189189189,0.898986135475978,0.8531775764593693,0.1569919344793481,0.4710792296340279,0.07206231877547498,0.992,0.9439999999999997,A,lgbm,2026
37,0.4594594594594595,0.6171036703136094,0.6676470588235295,0.24164905648003857,0.7916959646038763,0.16165120605219158,0.6,0.7,A,logit,2020
1480,0.4905405405405405,0.7062377376002005,0.7073678672424755,0.2226580262226793,0.655584548308156,0.06881324441562495,0.8649999999999999,0.76,A,logit,2021
1517,0.5464733025708636,0.7936748141241441,0.7649346368558363,0.19786521740961444,0.5803404360962746,0.05053999137976752,0.8975609756097562,0.8219512195121952,A,logit,2022
1480,0.5236486486486487,0.754823354426303,0.7497231754747198,0.20515358309062215,0.6104289283034848,0.04715602000207109,0.865,0.8175000000000001,A,logit,2023
1480,0.5135135135135135,0.817835533631488,0.7941977339181286,0.18459782315012133,0.5457641206065622,0.03966915810006855,0.945,0.85,A,logit,2024
1480,0.5702702702702702,0.873928408545189,0.8206336254433813,0.1735800341991057,0.5193896318571177,0.05911747671067691,0.9800000000000001,0.9274999999999999,A,logit,2025
925,0.5989189189189189,0.9144904451552224,0.8700652933334632,0.14449215989763597,0.4398076056692062,0.055509122331518626,1.0,0.976,A,logit,2026
37,0.7837837837837838,0.896678732892913,0.728448275862069,0.17249970014398497,0.5182510052303715,0.21387728482328483,0.8,0.9,B,hist,2020
1480,0.8263513513513514,0.954125056241188,0.8234264788696546,0.12751129457865631,0.40199027721796504,0.12023134303534304,0.9800000000000001,0.9875,B,hist,2021
1517,0.8754119973632168,0.9603798263660248,0.7805706954803342,0.10570803931002776,0.3444098668032349,0.0631054352213377,0.9951219512195121,0.9951219512195121,B,hist,2022
1480,0.8155405405405406,0.9424869712677155,0.8002813259648387,0.12487498939332103,0.4308468751433702,0.052436100831600996,0.975,0.9850000000000001,B,hist,2023
1480,0.8033783783783783,0.9560894891627789,0.8440197804039895,0.11543477880633655,0.3585125746355304,0.03731142692307687,1.0,0.9974999999999999,B,hist,2024
1480,0.8445945945945946,0.9614077532612113,0.8211704347826088,0.11267772719115918,0.34798040991249934,0.040871670686070664,1.0,0.9974999999999999,B,hist,2025
925,0.8075675675675675,0.9492992402065262,0.8326038235338357,0.11690977681777732,0.39918306864943226,0.04331575858627855,0.976,0.988,B,hist,2026
37,0.7837837837837838,0.8730931686823975,0.6594827586206896,0.15897303021061565,0.5774105564553029,0.2059515000648236,1.0,0.9,B,lgbm,2020
1480,0.8263513513513514,0.940175681396055,0.7692158403619346,0.12498322328299273,0.41057950685184585,0.06739254941538711,1.0,0.9625,B,lgbm,2021
1517,0.8754119973632168,0.9648130167281308,0.7944197424619112,0.10345905255600682,0.3339504283032188,0.0422339598483139,0.9951219512195121,0.9902439024390243,B,lgbm,2022
1480,0.8155405405405406,0.9453872132048662,0.7811757422362227,0.13660897883161055,0.42821396384258453,0.0856222112300441,0.9949999999999999,0.99,B,lgbm,2023
